A3	218.241	0	0.291373	0	
A3	221.877	0.268365	0.148425	0	
B3	247.377	0.281712	0.112727	0	
A3	221.486	0.157466	0.135241	0	
D4	295.733	1.15976	0.30382	0.150995	
E4	328.56	1.2671	1.06385	1.42714	
G3	195.508	0.692203	0.442121	0.104882	
F3	174.217	0.257668	0	0.148819	
F3	174.182	0.270406	0	0	
D4	294.991	1.06088	0.236322	0	
G#3	208.361	0.150377	0.220769	0.191999	
B3	247.496	0.337939	0.164084	0.445849	
E4	329.299	0.807464	0.579513	0.380663	
A3	225.019	0.262114	0.522441	0	
A3	220.366	0.482576	0.355619	0.108374	
A3	219.667	0.156883	1.26074	0	
A4	441.516	0.438571	0.581944	0	
A3	219.852	0.326351	0.205998	0	
G4	393.596	0.440834	0.10274	0.162641	
F4	350.678	0.278284	0.113415	0.168139	
E4	327.533	1.57579	1.09671	1.00893	
D4	294.399	0.99004	0.236559	0	
E5	656.894	0.437329	0	0	
B3	247.536	0.402731	0.235914	0.29452	
D3	146.357	1.76113	0.593854	1.36671	
C4	260.306	0.484272	0.200368	0.117548	
F3	174.005	0.234089	0.324946	0.126838	
A3	220.949	0.253117	0.177299	0	
A3	220.816	0	0	0.254118	
A3	221.291	0.230628	0.106103	0	
